const,param,runTime
20,100,11562
20,100,11561
20,100,9200
20,100,11681
20,100,9473
20,100,9173
20,100,4075
20,100,9256
20,100,10783
20,100,9210
20,500,51803
20,500,45495
20,500,25063
20,500,20254
20,500,55244
20,500,22587
20,500,20926
20,500,20846
20,500,45898
20,500,26395
20,1000,40537
20,1000,67021
20,1000,40712
20,1000,64570
20,1000,40925
20,1000,40780
20,1000,40444
20,1000,71393
20,1000,40439
20,1000,75346
20,2000,80745
20,2000,81815
20,2000,80899
20,2000,81023
20,2000,109430
20,2000,86893
20,2000,80938
20,2000,106589
20,2000,81068
20,2000,82886
20,5000,210995
20,5000,202232
20,5000,217437
20,5000,206987
20,5000,212511
20,5000,201900
20,5000,201925
20,5000,238767
20,5000,202123
20,5000,233308
20,10000,403278
20,10000,403262
20,10000,403683
20,10000,403285
20,10000,435397
20,10000,412434
20,10000,439048
20,10000,430138
20,10000,438403
20,10000,404498
20,20000,818672
20,20000,841503
20,20000,837253
20,20000,838858
20,20000,835465
20,20000,813681
20,20000,830541
20,20000,839248
20,20000,831384
20,20000,841726
20,50000,2020866
20,50000,2047971
20,50000,2062431
20,50000,2028956
20,50000,2047150
20,50000,2056667
20,50000,2049970
20,50000,2017392
20,50000,2057543
20,50000,2058508
